Date,Price,Open,High,Low,Vol.,Change %,Chg. %,Unnamed: 7
11/27/2024,140.7,140.7,140.7,140.7,,-0.21%,,
11/28/2024,140.7,140.7,140.7,140.7,,0.00%,,
11/29/2024,141.5,141.5,141.5,141.5,,0.57%,,
12/02/2024,135.0,136.0,136.05,136.0,0.01K,-4.59%,,
12/03/2024,134.8,134.8,134.8,134.8,,-0.15%,,
12/04/2024,133.4,133.4,133.4,133.4,,-1.04%,,
12/05/2024,133.25,133.0,133.0,133.0,0.05K,-0.11%,,
12/06/2024,133.25,133.25,133.25,133.25,,0.00%,,
12/09/2024,133.75,133.75,133.75,133.75,,0.38%,,
12/10/2024,133.45,133.45,133.45,133.45,,-0.22%,,
12/11/2024,133.75,133.75,133.75,133.75,,0.22%,,
12/12/2024,132.5,132.5,132.5,132.5,,-0.93%,,
12/13/2024,130.75,130.75,130.75,130.75,,-1.32%,,
12/16/2024,129.25,129.25,129.25,129.25,0.04K,-1.15%,,
12/17/2024,129.0,129.0,129.0,129.0,,-0.19%,,
12/18/2024,128.25,128.0,128.05,128.0,0.01K,-0.58%,,
12/19/2024,127.1,128.0,128.0,128.0,0.00K,-0.90%,,
12/20/2024,127.4,127.4,127.4,127.4,0.02K,0.24%,,
12/23/2024,126.75,126.75,126.75,126.75,,-0.51%,,
12/24/2024,126.75,126.75,126.75,126.75,,0.00%,,
12/26/2024,126.75,126.75,126.75,126.75,,0.00%,,
12/27/2024,126.75,126.75,126.75,126.75,,0.00%,,
12/30/2024,124.55,124.0,124.0,124.0,0.00K,-1.74%,,
12/31/2024,125.25,123.0,126.5,123.0,0.05K,0.56%,,
01/02/2025,124.6,124.6,124.6,124.6,0.03K,-0.52%,,
01/03/2025,123.5,123.5,123.5,123.5,0.00K,-0.88%,,
01/06/2025,119.75,122.0,122.0,121.0,0.01K,-3.04%,,
01/07/2025,118.3,119.25,119.25,118.5,0.18K,-1.21%,,
01/08/2025,117.45,117.45,117.45,117.45,0.06K,-0.72%,,
01/09/2025,115.75,115.75,115.75,115.75,0.00K,-1.45%,,
